Name,Min P,Max P,Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34
STCR5-_1,0,45.0,0.0,0,0,4.506379090694031,4.543467511454769,4.543467523134269,5.0326269805484785,5.032626992162601,5.533459553793085,5.5620139413278755,5.567535936366654,5.5720965682338965,5.5720965682338965,5.633278208842233,5.694242847978665,5.694242847978665,5.657796838702975,18.095900200380882,30.82320382998723,35.583619910086625,6.00227342166227,21.53713907909946,32.48007845560932,26.661208432845445,22.223297297615677,33.99452801888603,23.835492709489746,35.33840372204868,35.39115244318573,34.05372394317059,29.196867808405035,29.211115124598788,29.21048514768895,28.943902019073917,28.974832909285563,28.974832909285563,37.20009994530413
CRAG0A_1,0,8.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRAG0B_1,0,2.200000047683716,2.0000000267028634e-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0000000267028642e-10,2.000000026702864e-10,2.000000026702864e-10,2.000000026702864e-10,2.000000026702864e-10,2.000000026702864e-10,2.0000000267028644e-10,2.0000000267028642e-10,2.000000026702864e-10,2.000000026702864e-10,2.000000026702864e-10,2.0000000267028642e-10,2.000000026702864e-10,2.000000026702864e-10,2.000000026702864e-10,2.0000000267028634e-10
EWHC0G_1,0,12.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-1.734723475976807e-18,0.0,0.0,4.336808689942018e-19,4.336808689942018e-19,0.0,7.064433978614532e-07,7.064433978614532e-07,4.336808689942018e-19,0.0,0.0,1.1102230246251565e-16,2.4000000953674308,2.4000000953674316,2.400000095367432,2.4000000953674316,2.9999999999999996,3.0,5.400000095367432,5.400003732128183,5.400003705182654,5.400003593652836,5.400000095367432,5.4000000953674325,5.400000095367431,5.4000000953674325,5.4000000953674325,5.4000000953674325,5.4000000954009995
WYSB0G_1,0,10.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MINS0G_1,0,38.0,0.0,0,0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,-1.734723475976807e-18,8.146245742291641e-07,8.146245742291641e-07,0.0,-2.7755575615628914e-17,1.1102230246251565e-16,0.0,7.360000133514405,7.360000133514404,7.360000133514403,7.360000133514404,9.199999809265137,9.199999809265137,16.559999465942383,16.560006398964912,16.560006367462474,16.56000610165763,16.559999465942383,16.559999465942383,16.559999465942383,16.55999946594238,16.559999465942383,16.559999465942383,16.559999466045575
WTG_EWEH0G_1,0,39.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,1.3877787807814457e-17,-1.3877787807814457e-17,7.360000133514403,7.360000133514404,7.360000133514403,7.360000133514404,9.199999809265138,9.199999809265137,9.199999809265137,9.20001150050543,9.20001153886104,9.200011008496485,9.199999809265137,9.199999809265137,9.199999809265137,9.199999809265137,9.199999809265135,9.199999809265135,9.1999998093174
WTG_MINS0G,-9999,-9999.0,0.0,0,0,0.0,0.0,0.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
WTG_EWEHOG_1,-9999,-9999.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
WTG_EWEHOG_2,-9999,-9999.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
STCR_DIESEL,-9999,-9999.0,999.0,999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STCR_MOTOR,-9999,-9999.0,999.0,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
